tak,,,Origin,,,,,,,,Rationale,,,,,,,,,Data,,,,,,,,,,,,EEG processing,,,,,,,,Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results and discussion,,,,,,,,,,,,,Reviewed by,,,,
,Title,Year,Authors,Journal / Origin,Preprint first,Type of paper,Lab / School / Company,Country,Pages,,Domain 1,Domain 2,Domain 3,Domain 4,High-level Goal,Practical Goal,Task/Paradigm,Motivation for DL,,EEG Hardware,Neural response pattern,Dataset name,Dataset accessibility,Data,Data - samples,Data - time,Data - subjects,Nb Channels,Sampling rate,Offline / Online,,Preprocessing,Preprocessing (clean),Artefact handling,Artefact handling (clean),Features,Features (clean),Normalization,,Software,Architecture,Architecture (clean),Design peculiarities,EEG-specific design,Network Schema,Input format,Layers,Layers (clean),Activation function,Regularization,Regularization (clean),Nb Classes,Classes,Output format,Nb Parameters,Training procedure,Training procedure (clean),Optimizer,Optimizer (clean),Optim parameters,Minibatch size,Hyperparameter optim,Hyperparameter optim (clean),Data augmentation,Loss,Intra/Inter subject,Cross validation,Cross validation (clean),Data split,Performance metrics,Performance metrics (clean),Training hardware,,Training time,Results,Benchmarks,Baseline model type,Statistical analysis of performance,Analysis of learned parameters,Model inspection (clean),Discussion,Limitations,Code available,Code hosted on,Limited data,,First Reader,Second Reader,Validated by Author(s),,Citation
,Gated Recurrent Networks for Seizure Detection,2018,"Golmohammadi, Ziyabari, Shah, Von Weltin, Campbell, Obeid & Picone",Arxiv,Yes,Preprint,"Neural Engineering Data Consortium, Temple University",USA,5,,Classification of EEG signals,Clinical,Epilepsy,Detection,Improve SOTA (their previous work),"Explore Gated RNN (LSTM & GRU), explore initialiazation and regularization of these networks",(see TUH dataset paper),Improve their last results,,N/M,Seizures,TUH Seizure Corpus,Public,"TUH EEG Corpus
(Train + Test | in sec)
Seizures: 51,140 + 53,930
Non-Seizures: 877,821 + 547,728

(21s windows, no overlap)",72886,25510.35,246,22,250,,,None.,No,N/M,N/M,LFCCs + First & Second Derivative of LFCCs,Other,N/A,,N/M,"1) CNN + LSTM
2) CNN + GRU",CNN+RNN,"2D CNN to 1D CNN to bi-LSTM
First LSTM output: 128 (1s data / epoch)
Second LSTM output: 2-way sigmoid
(classification of a 1s epoch)","1) Gated units to avoid vanishing gradient.
2) RNNs to capture long-term dependencies.",Yes,"210 x 22 x 26
(Windows * Channels * Features)","3x 2D CNN
+ 1x 1D CNN
+ LSTM",5,ELU,"1) L1
2) L2
3) L1/L2
4) Dropout
5) Guassian Noise",Yes,,,"1
(classification - sigmoid)",N/M,"Initialization: 
The best performance is achieved using orthogonal initialization",Standard,Adam,Adam,N/M,N/M,N/M,N/M,No,MSE,Inter,No,No,"Train: 928,962s
Test: 601,659s","Sensitivity, Specificity","sensitivity, specificity",N/M,,N/M,"CNN + GRU -   Sensitivity:  30.83%   |    Specificity:  91.49%
CNN + LSTM -   Sensitivity:  30.83%   |    Specificity:  97.10%

Best Regulation: L1/L2
Best Initialization: Orthogonal","Compared CNN+GRU vs CNN+LSTM
Compared 10 different initialization methods (see comments)
Compared 5 different regularization methods
(L1/L2, L1, L2, Gaussian noise, Dropout)
",DL,No,No,No,"LSTMs outperformed GRUs. We also studied initialization and regularizations of these networks. In future research, we are designing a more powerful architecture based on reinforcement learning concepts. We are also optimizing regularization and initialization algorithms for these approaches. Our goal is to approach human performance which is in the range of 75% sensitivity with a false alarm rate of 1 per 24 hours [11].","No enough labeled data. Having certified specialist to label the data is very expensive, and hard to have people to do it.",No,N/A,Yes,,Yannick Roy,TBR,TBC,,Golmohammadi2017b
,Optimizing Channel Selection for Seizure Detection,2018,"Shah, Golmohammadi, Ziyabari, Weltin, Obeid & Picone",Arxiv,Yes,Preprint,"Neural Engineering Data Consortium, Temple University",USA,,,Classification of EEG signals,Clinical,Epilepsy,Detection,Study the Impact of Number of Channels,Explore the impact of using/having from 2 to 22 channels with same network,(see TUH dataset paper),"Lower the number of EEG channels required 
(also save disk space)",,N/M,Seizures,TUH Seizure Corpus,Public,"TUH EEG Seizure Corpus (TUSZ)
No more information about samples/time
(1s windows)",N/M,N/M,N/M,22,250,,,None.,No,N/M,N/M,LFCCs + First & Second Derivative of LFCCs,Other,N/A,,N/M,CNN + LSTM,CNN+RNN,(same as there previous paper: Gated Recurrent Networks for Seizure Detection),(same as there previous paper: Gated Recurrent Networks for Seizure Detection),Yes,"210 x 22 x 26
(Windows * Channels * Features)","3x 2D CNN 
+ 1x 1D FC CNN
+ 2x Bi-LSTM",5,ELU & Sigmoid,Dropout,Yes,,,"1*
(classification - sigmoid)",N/M,N/M,N/M,Adam,Adam,N/M,N/M,N/M,N/M,No,MSE,Inter,N/M,No,N/M,"Sensitivity, Specificity","sensitivity, specificity",N/M,,N/M,"22 Channels -    Sensitivity:  39.15%    |    Specificity:  90.37%
20 Channels -    Sensitivity:  34.54%    |    Specificity:  82.07%
16 Channels -    Sensitivity:  36.54%    |    Specificity:  80.48%
8 Channels -    Sensitivity:  33.44%    |    Specificity:  85.51%
4 Channels -    Sensitivity:  33.11%    |    Specificity:  39.32%",No,None,No,No,No,The results presented in this paper use the Any Overlap scoring method [11] in which true positives are counted when the hypothesis overlaps with one or more reference annotations. False positives correspond to events in which the hypothesis annotations do not overlap with any of the reference annotations. This method of scoring is popular in the EEG research community.,-,No,N/A,No,,Yannick Roy,TBR,TBC,,Shah2017
,Improving brain computer interface performance by data augmentation with conditional Deep Convolutional Generative Adversarial Networks,2018,Zhang & Liu,Arxiv,Yes,Preprint,Beijing Institute of Technology,China,,,Generation of data,Data augmentation,,,Generate EEG signals,Generate EEG signals using GANs for data augmentation,Motor Imagery (Left/Right Hand),To increase amount of data available for training,,N/M,Motor imagery,BCI Competition II - III,Public,"BCI Competition II - III
(1 Subject x 7 runs x 40 trials x 9 seconds)
Used only 280 trials (140 training / 140 testing)
Took 5s from each trial: 4s-9s 
(5s windows)",280,23.3,1,3,128,Offline,,None,No,No,No,"Continuous Wavelet transform (Morlet)
Only keep 7-15 Hz",Frequency-domain,N/A,,N/M,"Augmentation: cDCGAN
Classification: CNN",CNN,Conditional Deep Convolutional GAN (cDCGAN) + label information as input to both generator and discriminator,2D kernel to accomodate input TFR,Yes,N/M,N/M,N/M,ReLU,N/M,N/M,2,"Left Hand
Rigth Hand",Same as input (not mentioned),N/M,"cDCGAN optimization
Training CNN with real and artificial data",Standard,N/M,N/M,N/M,N/M,N/M,N/M,"GAN
[0.5 - 2x]
(artificial EEG data)",N/M,Intra,No,No,"Train: 50%
Test: 50%",Accuracy,accuracy,N/M,,N/M,"No augmentation: ~83 %
50% of augmentation: ~84%
150% of augmetation: ~84%
200% of augmentation: ~85.5%",None,None,No,No,No,Data augmentation with GAN is does help increasing accuracy when limited data is available.,Limited amount of data available per subject when training a BCI.,No,N/A,Yes,,Hubert Banville,Yannick,TBC,,Zhang2018b
,Convolutional neural networks for seizure prediction using intracranial and scalp electroencephalogram,2018,"Truong, Nguyen, Kuhlmann, Bonyadi, Yang, Ippolito & Kavehei",Neural Networks,Yes,Preprint,"University of Sydney
Royal Melbourne Institute of Technology
Swinburne University
University of Melbourne
University of Queensland
University of Adelaide",Australia,,,Classification of EEG signals,Clinical,Epilepsy,Prediction,Improve SOTA,Use CNN to improve SOTA in seizure detection,Ongoing recording with and without seizures,Test CNN on different epilepsy datasets,,N/M,"None
(Seizures)","Freiburg Hospital;
CHB-MIT;
Kaggle: AESSPC",Public,"DS #1 - Freiburg: 311h (59 seizures)
DS #2 - CHB-MIT: 209h (64 seizures)
DS #3 - AESSPC: 627h (48 seizures)
(30s windows, no overlap)","37320;
25080;
75240","18660;
12540;
37620","13;
13;
2","6;
22;
16",N/M,,,"1) Removed Powerline: 47-53Hz + 97-103Hz
2) Removed DC Component (0Hz)",Yes,N/M,N/M,"SFTF
(2D Freq x Time)
30s EEG windows",Frequency-domain,N/A,,"Python
Keras
Tensorflow",CNN,CNN,"Batch Norm + Pooling
2 Dense","First, we keep the CNN architecture simple and shallow as described above (Ba & Caruana, 2014)",Yes,"n x 59 x 114
(electrodes x time x freq)","CNN: 3
FC: 2",5,"ReLU
Sigmoid
Softmax
","Dropout 
(50%)",Yes,,,2,N/M,We applied cost-sensitive learning by changing 300 the cost function in a way that the misclassification cost of preictal samples is multiplied by the ratio of interictal samples to preictal samples for each patient.,Standard,N/M,N/M,N/M,N/M,N/M,N/M,"Overlapping windows
(overlap % subject-specific to match classes)",N/M,Intra,Leave-One-Seizure-Out,Leave-One-Sample-Out,"Train: N/M
Valid: 25% of training
Test: N/M","Sensitivity
FPR (/h)","sensitivity, FPR", NVidia K80,,N/M,"Measures (Epilepsy Specific): 
SOP of 30 min  |   SPH of 5 min

DS #1) Sensitivity : 81.4% | FPR: 0.06/h
DS #2) Sensitivity : 81.2% | FPR: 0.16/h
DS #3) Sensitivity : 75.0% | FPR: 0.21/h","Compares on 3 Datasets

Compares to 14 other SOTA (papers)",DL & Trad.,Wilcoxon signed-rank test,No,No,,"(1) Unbalanced Classes.
(2) Comparing results with SOTA is complicated because each approach was tested with one dataset that is limited in the amount of data.",No,N/A,Yes,,Yannick Roy,TBR,TBC,,Truong2018
,Semi-supervised Seizure Prediction with Generative Adversarial Networks,2018,"Truong, Kuhlmann, Bonyadi & Kavehei",Arxiv,Yes,Preprint,"University of Sydney
University of Melbourne
University of Queensland",Australia,,,Classification of EEG signals,Clinical,Epilepsy,Prediction,Improve SOTA,Use unlabelled data and data fusion to improve SOTA in seizure prediction,"Resting State, Eyes Open, Eyes Closed, Seizures.",Leverage unlabelled data,,N/M,Raw EEG,"CHB-MIT;
Freiburg Hospital",Public,"DS #1 - Freiburg: 311h
DS #2 - CHB-MIT: 209h
(28s windows, no overlap)","39985;
26871","18660;
12540","13;
13","16;
6",256,,,"STFT on 1-s windows with 50% overlap
Removal of power line noise frequencies",Yes,N/M,N/M,STFT,Frequency-domain,N/M,,Tensorflow,"1) GAN
2) CNN",Other,-,-,Yes,"1) GAN generator: 100 x1
2) GAN discriminator: n x 56 x 112
3) CNN: Same as discriminator","1) GAN generator: 4
2) GAN discriminator: 3
3) Classifier: 2",4,"Softmax, Sigmoid",Dropout (50%),Yes,,,"1) GAN generator:
2) GAN discriminator:
3) CNN",N/M,"1) Train GAN
2) Train 2 new FC layers on top of discriminator using labelled data",Other,N/M,N/M,N/M,N/M,N/M,N/M,"Overlapping windows
(overlap % subject-specific to match classes)",N/M,Both,Leave-One-Seizure-Out,Leave-One-Sample-Out,"Train: N/M
Valid: 25% of training
Test: N/M",ROC AUC,ROC AUC,Nvidia P100,,N/M,"AUC: 77.68% (CHBMIT), 75.47 (Freiburg)
[6 and 12% less than benchmark]",CNN,DL,No,No,No,"Although the performance decreased as compared to a standard CNN, the authors argue this can reduce the effort put into labelling the data.",-,No,N/A,No,,Hubert Banville,TBR,TBC,,Truong2018a
,Time Series Segmentation through Automatic Feature Learning,2018,"Lee, Ortiz, Ko & Lee",Arxiv,Yes,Preprint,Princeton University,USA,,,Classification of EEG signals,Multi-purpose architecture,,,Improve SOTA,Detect changepoints/breakpoints in data (changes in signal) and apply to different types of time series data,Eye movements,"Deep learning models for changepoint detection don't make assumptions about the underlying processes, as opposed to standard models",,EPOC (Emotiv),Eyes open vs. eyes closed,EEG Eye State,Public,"EEG Eye State Dataset
117 seconds from 1 subject with Emotiv
(14980 points, using windows of 25 points)",600,2,1,14,256,,,N/M,N/M,N/M,N/M,N/M,N/M,N/M,,N/M,Stacked Autoencoder,AE,-,-,No,N/M,2 (encoder),2,N/M,"Tied weights in encoder and decoder
L2 weight decay",Yes,,,2,N/M,Standard optimization,Standard,Stochastic gradient descent,SGD,N/M,N/M,N/M,N/M,No,Cross-entropy (or square loss?),Intra,No,No,N/M,"ROC
Prediction loss (specific to task)
MSE
Prediction ratio","ROC, prediction loss, mse, prediction ratio",N/M,,N/M,ROC curves...,"Bayesian changepoint detection (based on Gamma or Gaussian priors)
Pruned Exact Linear Time method
Density-ratio estimation method",Traditional pipeline,No,No,No,Deep learning avoids typical problems in modelling changepoints.,-,No,N/A,No,,Hubert Banville,TBR,TBC,,Lee2018a
,Investigating the Impact of CNN Depth on Neonatal Seizure Detection Performance,2018,"O’Shea, Lightbody, Boylan & Temko",Arxiv,Yes,Preprint,University College Cork,Ireland,,,Classification of EEG signals,Clinical,Epilepsy,Detection,Improve SOTA,Use CNN to improve SOTA in seizure detection in neonatal,Ongoing recording with and without seizures,Improve SOTA with CNN-11 based on their CNN-6 (2017),,N/M,Raw EEG,Internal Recordings,Private,"8s windows with 1s shift
over 800 hours of multichannel unedited EEG, containing 1389 seizure
18 babies",N/M,N/M,18,8,256,,,"Down-sample to 32Hz
Filtered between 0.5 and 12.8Hz",Yes,N/M,N/M,8 sec windows (1 sec shift),Raw EEG,N/A,,N/M,CNN,CNN,"Conv - Batch Norm - Pooling
Output not Dense layer but 
Grand Average Pooling","""The 11-layer network can learn more simple features in the first layer (3 samples wide) and more complex features in the final layers (212 samples wide).""",Yes,"256x1 
(1sec - 256 samples)",11,11,Softmax,N/M,N/M,,,"2
Seizure / Non-Seizure","28,642","The network was trained for 100 epochs, after each epoch the validation AUC was calculated.",Standard,Stochastic Gradient Descent,SGD,"LR: 0.01
Momentum: 0.9",2048,N/M,N/M,N/M,N/M,Inter,Leave-One-Subject-Out,Leave-One-Subject-Out,"""The training data contains less than 2% of the validation dataset""",ROC AUC,ROC AUC,N/M,,N/M,AUC90: 86.85%,"CNN - 6 layers (O'Shea et al., 2017)
SVM",DL & Trad.,No,No,No,This represents a substantial improvement over a shallower 6-layer CNN network which has a smaller range of receptive fields. These results represent the current best results for this task obtained using a single classifier.,N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Shea2018
,Fair Deep Learning Prediction for Healthcare Applications with Confounder Filtering,2018,"Wu, Wang, Cao, Chen, Xing",Arxiv,Yes,Preprint,"Beijing University of Posts and Telecommunications, Carnegie Mellon University",China,12,,Improvement of processing tools,Reduce effect of confounders,,,New approach: Reduce effect of confounders in medical data,"Reduce the effect of confounders in medical data (e.g., gender bias in training data)",Students watching MOOC videos,Learn representations from scratch,,Mindset (NeuroSky),Raw EEG,Internal Recordings,Private,"10 students x 20 videos x 2min
10 confusing / 10 not confusing
(??s windows)",N/M,400,10,1,N/M,N/M,,N/M,N/M,No,No,Raw EEG,Raw EEG,z-score,,TensorFlow,Bi-LSTM,RNN,Use of Confounder Filtering,N/M,No,N/M,N/M,N/M,Tanh,N/M,N/M,2,"Confused
Not-confused",1 (sigmoid),N/M,N/M,N/M,N/M,N/M,N/M,20,N/M,N/M,N/M,Binary Cross-Entropy*,Inter,5-Fold CV,k-fold,N/M,Accuracy,accuracy,N/M,,N/M,CF-Bidirectional LSTM acc: 75.0%  ,"SVM: 67.2%
K-Nearest Neighbors: 51.9%
Convolutional Neural Network: 64.0%
Deep Belief Network: 52.7%
RNN-LSTM: 69.0%
Bidirectional LSTM: 73.3%",DL & Trad.,No,No,No,The use of confounding filtering improves the predictive performance. ,N/M,Yes,GitHub,No,,Isabela Albuquerque,TBR,TBC,,Wu2018
,HAMLET: Interpretable Human And Machine co-LEarning Technique,2018,"Deiss, Biswal, Jin, Sun, Westover & Sun",Arxiv,Yes,Preprint,"Georgia Institute of Technology
Massachusetts General Hospital",USA,9,,Classification of EEG signals,Multi-purpose architecture,,,New approach,Help experts generate high quality labels,"Tested on Epilepsy data, could be used for different tasks",Features can be automatically extracted to help experts label the data,,N/M,Raw EEG,Internal Recordings,Private,"D: Using 140,000 of 390,486 x 16s sequences (unbalanced with 5 classes)
1) 20,000 (89h of EEG) : 80/20 - train / test.
Patients in the testing set are not present in the training set (testing is per- formed on unseen patients)
2) 20,000 (89h of EEG) : 80/20 - train / test
Patients in the testing set are also present in the training set (testing is performed on known patients).
3) 100,000 sequences from D",140000,37333,155,19,200,,,"1) Low-Pass filter: 60Hz
2) Computation of montages*
(not sure what that means)
3) 16s windows",Yes,No,No,"Raw EEG
(None)",Raw EEG,N/M,,"Python
Tensorflow","CNN
CAE
(Conv AutoEncoder)",Other,"1D CNN
FC Layer only for training
","One advantage of CNNs is the automated feature selection that happens during training. Without additional work, the model learns the features that it finds most relevant for its given task, from the raw signals.",Yes,16x,Classifier: 6 Conv + 1FC,7,ELU,"Dropout
(20%)",Yes,,,"5
(softmax)",N/M,"Co-Learning
Supervised & Unsupervised",Other,Adam,Adam,N/M,128,N/M,N/M,"Flipped Electrodes Left <-> Right side of brain, keeping references the same (Fz, Cz, Pz)
almost 2x dataset.",N/M,Inter,No,No,"Train: 80%
Test: 20%",Accuracy,accuracy,"Intel(R) Xeon(R) 
E5-2630 2.40 GHz 
32 cores
256 Gb ofRAM 
4 GPUs Tesla K80",,13h,"Before re-labeling    |    After re-lbl full    |     After re-lbl re-eval only
HAMLET-CNN      39.36%  |  40.75%  |  68.75%
HAMLET-CAE      38.46%  |  39.06%  |  67.97%
CNN                      38.89%  |  41.58%  |  68.75% 
MLP                      21.04%  |  23.14%  |  14.06%","CNN
MLP",DL,No,"1) Retrieval of closest labelled example to explain the decision on a specific input
2) Analysis of weights","Retrieval of closest examples, Analysis of weights","To summarize, first, we have introduced a novel tech- nique, HAMLET, for human and machine co-learning that is suited for creating high-quality labeled datasets on challenging tasks with a limited budget. This technique has benefits that can appreciated in many deep learning applications.",N/M,No,N/A,Yes,,Yannick Roy,TBR,TBC,,Deiss2018
,Addressing Class Imbalance in Classification Problems of Noisy Signals by using Fourier Transform Surrogates,2018,"Schwabedal, Snyder, Cakmak, Nemati & Clifford",Arxiv,Yes,Preprint,Emory University,USA,7,,Generation of data,Data augmentation,,,Improve SOTA,Use FT Surrogates for Data Augmentation. (Tested with a CNN on Sleep Data),Sleep Dataset (CAP),"Some EEG problemes are unbalanced. (e.g. Sleep stages, Epilepsy, etc.) For DL to perform well, we need data augmentation techniques.
",,N/M,Sleep,CAP Sleep,Public,"CAPSLPDB: 94 out of 101 overnight PSGs x ~8h
(30s windows, no overlap)",90240,45120,94,2,N/M,,,"Low-pass filter: 13Hz (4th order Butterworth)
Downsampling to 32Hz",Yes,No,No,"Raw EEG
(None)",Raw EEG,N/M,,N/M,CNN,CNN,"1D CNN for each channel: 
2xEEG + 1xEOG + 1xEMG",,Yes,30s Raw EEG,"Conv 1D: 4
Conv 2D: 1
FC: 3",8,,Dropout,Yes,6,"Wake
S1, S2, S3, S4
REM","6
(softmax)",N/M,N/M,N/M,RMS-Prop,Other,"LR: 0.0016
Momentum: None
Decay: 0.9",128,Baysian Hyperparams Optim.,Yes,FT Surrogates,N/M,Inter,5-Fold CV,k-fold,"Train: 4/5
Validation: 1/5
Test: N/M","F1-Score
Accuracy","f1-score, accuracy",Google Cloud,,N/M,"Accuracy (no augmentation):    67% | 73% | 51% | 64% | 75% | 70% 
Accuracy (FT surrogate):          83% | 86% | 38% | 75% | 97% | 46% 
Accuracy (IAAFT surrogates):   91% | 83% | 48% | 79% | 96% | 81% ","(all internal, no external)
No data augmentation
FT surrogates
IAAFT surrogates",None,No,No,No,"Increases in the S2-accuracy seemed to be at the expense of stages S1 and S3 for larger values of α. Based on these results, we hypothesize that the effect of surrogate augmentation on an individual class accuracy does not directly depend on their conditional prediction accuracies, which are on the diagonal of the conditional confusion matrix (cf. Fig. 4(a)); instead, augmentation may introduce mixing between class labels indicated by a large off-diagonal element upon which the accuracy of one of the mixed labels will dominate.","Unfortunately, we were not yet able to evaluate and compare IAAFT surrogates with these results due to temporal and budget constraints.",Yes,GitHub,Yes,,Yannick Roy,TBR,TBC,,Schwabedal2018
,EEG Classification Based on Sparse Representation and Deep Learning,2018,"Gao, Shang, Xiong, Fang, Zhang, & Gu ",NeuroQuantology,No,Journal,"Zhejiang University City College,",China,7,,Classification of EEG signals,BCI,Active,Motor imagery,Improve SOTA,Use CNN + Sparse coding on top of CSP features,Motor Imagery,N/M,,N/M,CSP,BCI Competition III - IVa,Public,"BCI Competition III - IVa
140 + 140 = 280 samples (length = 6s)",280,28,2,118,100,Offline,,Band-pass filter 8-15Hz,Yes,No,No,CSP (32 CSP filters),Frequency-domain,N/M,,N/M,CNN,CNN,CNN's input is a sparse representation of CSP features,N/M,Yes,28 x 28,"CNN: 2
FC: 1",3,ReLU,N/M,N/M,2,"Right Hand
Right Foot",2 (softmax),N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,Binary cross-entropy,Inter,N/M,No,"Train: 280
Test: N/M",Accuracy,accuracy,N/M,,N/M,"Accuracy Class 1: 98%
Accuracy Class 1: 99%",Sparse representations (not clear what is the classifier),Traditional pipeline,No,No,No,Performance of CNN+sparse representations is less afect when the number of training samples decreases.,N/M,No,N/A,No,,Isabela Albuquerque,Yannick Roy,TBC,,Gao2018
,Use of features from RR-time series and EEG signals for automated classification of sleep stages in deep neural network framework,2018,"Tripathy, & Rajendra Acharya",Biocybernetics and Biomedical Engineering,No,Journal,"Siksha 'O' Anusandhan, India
Ngee Ann Polytechnic, Singapore
SUSS University, Singapore",India,13,,Classification of EEG signals,Clinical,Sleep,Staging,Improve SOTA,Use DNNs on EEG + ECG for sleep stage scoring,Sleep Dataset (MIT-BIH),They don't mention why DL.,,N/M,"Raw EEG
(Sleep)",MIT-BIH,Public,"MIT-BIH
18 records * 100000 points / 7500 points per window
(30s windows)",240,120,18,1,250,,,1) 5 Band-pass filters to 5 freq bands,Yes,No,No,"14 EEG-HRV Features  (out of 19)
(The dispersion entropy and the variance features are evaluated from the different bands of EEG signal)
(the RQA and dispersion entropy features are evaluated from the IMFs of RR-time series)",Other,N/M,,Matlab 2015a,SAE,AE,"3 DNNs

EEG features + HRV features combined 
as inputs. Outputs = 2 classes (x3 DNNs)",N/M,Yes,"14 EEG Features
 ECG Features
(30s window)",2 AE,2,Sigmoid,"L2

(N/M... Assumed from the formula)",Yes,,,"2 (softmax)

3 DNN Networks
Classifying 2 classes each",N/M,Greedy Layer Wise,Pre-training,SGD,SGD,N/M,N/M,N/M,N/M,N/M,(See Formula),Inter,10-Fold CV,k-fold,N/M,"Accuracy (Acc)
Sensitivity (Sen)
Specificity (Spe)","accuracy, sensitivity, specificity","CPU 2 GHz
2 GB RAM",,"1 Instance:
EEG: 4.89s 
RR: 0.03s","Acc Sleep vs Wake: 85.51%
Acc Light vs Deep Sleep: 94.03%
 Acc REM vs NREM: 95.71%","Hayet and Slim [55] (ELM, Werteni et al. [56] (SVM), Adnane et al. [16] (SVM), Rossow et al. [57] (HMM), Redmond and Heneghan [58] (QDA), Song et al. [59] (Multivariate Discrim. Analysis), Prucnal et al. [12] (NN), Hasan et al. [11] (RUSBoost), Da Silveira et al. [13] (RF)",Traditional pipeline,No,No,No,"The dispersion entropy values for delta (d), theta (u) and alpha (a) bands are found to be more discriminatory for the classification of the wake and sleep classes.","The limitation of this work is that we have used only 18 subjects. The performance of this work can be improved using more subjects from the diverse race. The number of REM sleep stage instances in MIT-BIH polysomnography database is less as compared to deep sleep, light sleep and wake classes.",No,N/A,Yes,,Yannick Roy,TBR,TBC,,Tripathy2018
,Emotion stress detection using EEG signal and deep learning technologies,2018,"Liao, Chen & Tai",IEEE International Conference on Applied System Invention (ICASI),No,Conference,Department of Information Management Chaoyang University of Technology,Taiwan,,,Classification of EEG signals,Monitoring,Affective,Emotion,New approach,Use CNN to classify Attention & Meditation from raw EEG,Listening to music,Exploring the use of DL for stress detection via EEG,,Mindwave Mobile (Neurosky),None,Internal Recordings,Private,"7 subjects x 10 min
(1s windows, no overlap)",4300,70,7,1,512,,,N/M,N/M,N/M,N/M,Frequency Bands,Frequency-domain,N/A,,N/M,CNN,CNN,N/M,N/M,No,"1s
(N/M, assuming 512 samples)",7,7,RELU,N/M,N/M,,,"1
0: Meditation
1: Attention",N/M,N/M,N/M,N/M,N/M,N/M,N/M,Grid Search,Yes,N/M,N/M,Inter,N/M,No,"Train: 80%
Test: 20%","Accuracy
F1-Score","accuracy, f1-score",N/M,,N/M,Accuracy: 80.13%,None,None,No,No,No,The F1-score shows that our system is better in predicting class 1 than predicting class 0.,N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Liao2018
,Hierarchical internal representation of spectral features in deep convolutional networks trained for EEG decoding,2018,"Hartmann, Schirrmeister & Ball",BCI Conference,Yes,Conference,University of Freiburg,Germany,6,,Improvement of processing tools,Model interpretability,Model visualization,,Improve interpretability of CNNs ,Study most activating inputs. Study effect on internal representation of variations in the input signal,Motor imagery,End-to-end learning,,N/M,Raw EEG,Internal Recordings,Private,"14 subjects x 1000 trials x 4s
(4s windows)",14000,933,14,128,5000,,,"1) Downsample to 250 Hz
2) Common average re-reference ",Yes,No,No,"Raw EEG
(None)",Raw EEG,N/M,,Pytorch,CNN,CNN,See Schirrmeister et al. (2017),See Schirrmeister et al. (2017),Yes,522 x 128 (samples x channels),"CNN: 5
FC: 1",6,ELU,N/M,N/M,,,4,N/M,Standard optimization,Standard,Adam,Adam,N/M,N/M,N/M,N/M,N/M,Cross-entropy,Intra,N/M,No,"Train: 80%
Test: 20%","Accuracy
F1-Score","accuracy, f1-score",N/M,,N/M,"Mean accuracy over 14 subjects: 88.6% 
(but this is not the focus of paper)",None,None,No,"1) Signal perturbation (amplitude & phase)
2) Most-activating input windows","Input-perturbation network-prediction correlation maps, Analysis of most-activating input windows",Analyzed effect of perturbations in phase and amplitude of input signals. Earlier layers focus on frequency-related information while latest layers focus on amplitude.,N/M,No,N/A,No,,Isabela Albuquerque,Hubert Banville,TBC,,Hartmann2018b
,Spatial-Temporal Recurrent Neural Network for Emotion Recognition,2018,"Zhang, Zheng, Cui, Zong & Li",IEEE Transactions on Cybernetics,Yes,Journal,"Southeast University, Nanjing, China
Nanjing University of Science and Technology, China",China,9,,Classification of EEG signals,Monitoring,Affective,Emotion,"New Approach: Stacking 2 RNN layers for spatial and temporal resolution, for EEG & Facial Expression for emotion classification","Stacking 2 RNN layers for spatial and temporal resolution, for EEG & Facial Expression for emotion classification","Emotion Classification for short emotional films/clips
(SEED dataset)",Leverage RNN for both spatial and temporal features,,(NeuroScan),Emotions,SEED,Public,"SEED: 15 subjects
Assumed: 15 subjects x 15 movies x 4min x 2 exp
(9s windows, no overlap)",12000,1800,15,62,1000,,,None,No,No,No,"DE descriptors (?)  -  Freq Bands
(256-point FFT + Hanning Window (1s) for 5 F-Bands)",Frequency-domain,N/M,,N/M,"STRNN
(Spatial-Temporal RNN)",RNN,Spatial & Temporal features representation with stacked RNNs,"1) To learn spatial dependencies, a quad-directional spatial RNN (SRNN) layer is first employed
2) Then, a bi-directional temporal RNN (TRNN) layer is further stacked on SRNN to capture long-term temporal dependencies",Yes,"Not clear...
(to be reviewed)","SRNN: 1
TRNN: 1",2,"ReLU
Sigmoid",N/M,N/M,,,"3
(Softmax)",N/M,N/M,N/M,"Back Propagation 
Through Time
(BPTT)",N/M,N/M,N/M,N/M,N/M,N/M,Cross-entropy,Inter,No,No,"Train: 9 Sessions
Test: 6 Sessions",Accuracy,accuracy,N/M,,N/M,Accuracy: 89.5%,None,None,No,No,No,"A multidirection SRNN layer and a bi-direction TRNN layer are hierarchi- cally employed to learn spatial and temporal dependencies layer by layer. To adapt the multichannel EEG signals to the proposed STRNN framework, the spatial scanning order of electrodes are specified by spatial coordinates and tempo- ral variation information is involved by slicing a window on the extracted DE feature sequences.",N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Zhang2018
