,Title,Citation,Task,Metric,Model,Description,Architecture,Result,Comment
,,Hussein2018,"seizure detection (2-class B, hold-out)",accuracy,trad7,KNN,,0.984,
,,Hussein2018,"seizure detection (2-class B, hold-out)",sensitivity,trad7,KNN,,N/M,
,,Hussein2018,"seizure detection (2-class B, hold-out)",accuracy,trad8,ANN,,0.9827,
,,Hussein2018,"seizure detection (2-class B, hold-out)",sensitivity,trad8,ANN,,0.955,
,,Hussein2018,"seizure detection (2-class B, 10-CV)",accuracy,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (2-class B, 10-CV)",sensitivity,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (2-class B, 10-CV)",accuracy,trad9,SVM,,0.9925,
,,Hussein2018,"seizure detection (2-class B, 10-CV)",sensitivity,trad9,SVM,,0.9798,
,,Hussein2018,"seizure detection (2-class B, 10-CV)",accuracy,trad10,ANN,,0.9872,
,,Hussein2018,"seizure detection (2-class B, 10-CV)",sensitivity,trad10,ANN,,0.983,
,,Hussein2018,"seizure detection (3-class, hold-out)",accuracy,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (3-class, hold-out)",sensitivity,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (3-class, hold-out)",accuracy,trad11,MLPNN,,0.991,
,,Hussein2018,"seizure detection (3-class, hold-out)",sensitivity,trad11,MLPNN,,0.992,
,,Hussein2018,"seizure detection (3-class, hold-out)",accuracy,trad12,ECOC,,0.9867,
,,Hussein2018,"seizure detection (3-class, hold-out)",sensitivity,trad12,ECOC,,0.9855,
,,Hussein2018,"seizure detection (3-class, LOSO)",accuracy,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (3-class, LOSO)",sensitivity,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (3-class, LOSO)",accuracy,trad13,SVM,,0.95,
,,Hussein2018,"seizure detection (3-class, LOSO)",sensitivity,trad13,SVM,,0.96,
,,Hussein2018,"seizure detection (3-class, 10-CV)",accuracy,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (3-class, 10-CV)",sensitivity,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (3-class, 10-CV)",accuracy,trad14,LSSVM,,0.9719,
,,Hussein2018,"seizure detection (3-class, 10-CV)",sensitivity,trad14,LSSVM,,0.9696,
,,Hussein2018,"seizure detection (3-class, 10-CV)",accuracy,trad15,GMM,,0.99,
,,Hussein2018,"seizure detection (3-class, 10-CV)",sensitivity,trad15,GMM,,0.99,
,,Hussein2018,"seizure detection (5-class, hold-out)",accuracy,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (5-class, hold-out)",sensitivity,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (5-class, hold-out)",accuracy,trad16,MSVM,,0.9999,
,,Hussein2018,"seizure detection (5-class, hold-out)",sensitivity,trad16,MSVM,,0.9999,
,,Hussein2018,"seizure detection (5-class, hold-out)",accuracy,trad17,SVM,,0.9997,
,,Hussein2018,"seizure detection (5-class, hold-out)",sensitivity,trad17,SVM,,0.9837,
,,Hussein2018,"seizure detection (5-class, 10-CV)",accuracy,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (5-class, 10-CV)",sensitivity,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (5-class, 10-CV)",accuracy,trad18,MSVM,,0.96,
,,Hussein2018,"seizure detection (5-class, 10-CV)",sensitivity,trad18,MSVM,,N/M,
,Development of a brain computer interface interface using multi-frequency visual stimulation and deep neural networks,Perez-Benitez2018,SSVEP (normalized spectrum),accuracy,arch1,MLP,FC,0.9533,
,,Perez-Benitez2018,SSVEP (normalized spectrum),accuracy,trad1,MC-SVM,,0.9621,
,,Perez-Benitez2018,SSVEP (normalized spectrum),accuracy,trad2,Rule induction,,0.7117,
,,Perez-Benitez2018,SSVEP (normalized spectrum),accuracy,trad3,kNN,,0.9912,
,,Perez-Benitez2018,SSVEP (normalized spectrum),accuracy,trad4,GBT,,0.9387,
,Deep Semantic Architecture with discriminative feature visualization for neuroimage analysis,Ghosh2018,exercise vs. control group classification,accuracy,arch1,CNN,CNN,0.987,
,Cascade and Parallel Convolutional Recurrent Neural Networks on EEG-based Intention Recognition for Brain Computer Interface,Zhang2018c,motor imagery,accuracy,arch1,CNN-cascade,CNN,0.9831,
,,Zhang2018c,motor imagery,accuracy,arch2,CNN-parallel,CNN,0.9828,
,,Zhang2018c,motor imagery,accuracy,dl1,RNN,,0.7468,
,,Zhang2018c,motor imagery,accuracy,dl2,RNN,,0.8493,
,,Zhang2018c,motor imagery,accuracy,dl3,3D-CNN,,0.9238,
,,Zhang2018c,motor imagery,accuracy,dl4,2D-CNN,,0.8841,
,,Zhang2018c,motor imagery,accuracy,dl5,1D-CNN,,0.8622,
,,Zhang2018c,motor imagery,accuracy,trad1,SVM,,0.8505,
,,Zhang2018c,motor imagery,accuracy,trad2,SR-FBCSP,,0.8206,
,,Zhang2018c,motor imagery,accuracy,trad3,CSP + RF,,0.805,
,A hierarchical LSTM model with attention for modeling EEG non-stationarity for human decision prediction,Hasib2018,guard decision classification,auc,trad1,SVM,,0.652,
,,Hasib2018,guard decision classification,auc,dl1,CNN,,0.694,
,,Hasib2018,guard decision classification,auc,dl2,LSTM,,0.553,
,,Hasib2018,guard decision classification,auc,dl3,LSTM (0.5-s),,0.702,
,,Hasib2018,guard decision classification,auc,dl4,LSTM (2.5-s),,0.613,
,,Hasib2018,guard decision classification,auc,dl5,LSTM (5-s),,0.606,
,,Hasib2018,guard decision classification,auc,arch1,H-LSTM (0.5-s),RNN,0.826,
,,Hasib2018,guard decision classification,auc,arch2,H-LSTM (2.5-s),RNN,0.81,
,,Hasib2018,guard decision classification,auc,arch3,H-LSTM (5-s),RNN,0.816,
,Deep EEG super-resolution: Upsampling EEG spatial resolution with Generative Adversarial Networks,Corley2018,EEG upsampling (2x),mse,arch1,WGAN,GAN,2060,Use a surrogate classification task to see how useful the superresolution was
,,Corley2018,EEG upsampling (4x),mse,arch1,WGAN,GAN,8680,
,,Corley2018,EEG upsampling (2x),mse,trad1,Bicubic,,35700000,
,,Corley2018,EEG upsampling (4x),mse,trad1,Bicubic,,73000000,
,Spatial and Time Domain Feature of ERP Speller System Extracted via Convolutional Neural Network,Yoon2018,ERP speller,accuracy,arch1,CNN,CNN,0.889,
,,Yoon2018,ERP speller,accuracy,arch1,CNN,CNN,0.687,
??,Spectrographic Seizure Detection Using Deep Learning With Convolutional Neural Networks,Yan2018,seizure detection,sensitivity,arch1,CNN,CNN,0.98,
,Generating target / non-target images of an RSVP experiment from brain signals in by conditional generative adversarial network,Lee2018,generating images of specific class,accuracy,arch1,cGAN raw,GAN,0.625,
,,Lee2018,generating images of specific class,sensitivity,arch1,cGAN raw,GAN,0.625,
,,Lee2018,generating images of specific class,f1-score,arch1,cGAN raw,GAN,0.625,
,,Lee2018,generating images of specific class,accuracy,arch2,"cGAN raw, noise",GAN,0.5833,
,,Lee2018,generating images of specific class,sensitivity,arch2,"cGAN raw, noise",GAN,0.52,
,,Lee2018,generating images of specific class,f1-score,arch3,"cGAN raw, noise",GAN,0.5652,
,,Lee2018,generating images of specific class,accuracy,arch4,cGAN norm,GAN,0.625,
,,Lee2018,generating images of specific class,sensitivity,arch4,cGAN norm,GAN,0.625,
,,Lee2018,generating images of specific class,f1-score,arch4,cGAN norm,GAN,0.625,
,,Lee2018,generating images of specific class,accuracy,arch5,"cGAN norm, noise",GAN,0.5208,
,,Lee2018,generating images of specific class,sensitivity,arch5,"cGAN norm, noise",GAN,0.5,
,,Lee2018,generating images of specific class,f1-score,arch5,"cGAN norm, noise",GAN,0.5106,
,Cross-Participant EEG-Based Assessment of Cognitive Workload Using Multi-Path Convolutional Recurrent Neural Networks,Hefron2018,cognitive workload classification (len=5),accuracy,arch1,MPCRNN,CNN+RNN,0.791,
,,Hefron2018,cognitive workload classification (len=5),accuracy,dl1,BDRLSTM,,0.768,
,,Hefron2018,cognitive workload classification (len=5),accuracy,dl2,BDLSTM,,0.76,
,,Hefron2018,cognitive workload classification (len=5),accuracy,dl3,LSTM,,0.766,
,,Hefron2018,cognitive workload classification (len=5),accuracy,dl4,2L-LSTM,,0.771,
,,Hefron2018,cognitive workload classification (len=5),accuracy,dl5,CNN,,0.635,
,,Hefron2018,cognitive workload classification (len=5),accuracy,dl6,ANN,,0.749,
,,Hefron2018,cognitive workload classification (len=30),accuracy,arch1,MPCRNN,CNN+RNN,0.868,
,,Hefron2018,cognitive workload classification (len=30),accuracy,dl1,BDRLSTM,,0.852,
,,Hefron2018,cognitive workload classification (len=30),accuracy,dl2,BDLSTM,,0.853,
,,Hefron2018,cognitive workload classification (len=30),accuracy,dl3,LSTM,,0.849,
,,Hefron2018,cognitive workload classification (len=30),accuracy,dl4,2L-LSTM,,0.834,
,,Hefron2018,cognitive workload classification (len=30),accuracy,dl5,CNN,,0.711,
,,Hefron2018,cognitive workload classification (len=30),accuracy,dl6,ANN,,0.862,
,Classification of auditory stimuli from EEG signals with a regulated recurrent neural network reservoir ,Moinnereau2018,auditory stimuli classification,accuracy,arch1,RNN,RNN,0.832,
,,Moinnereau2018,auditory stimuli classification,accuracy,dl1,MLP,,0.486,
,Deep learning for detection of epileptiform discharges from scalp EEG recordings,VanPutten2018a,seizure detection,auc,arch1,2D CNN,CNN,0.94,
,,VanPutten2018a,seizure detection,auc,arch2,1D CNN,CNN,0.74,
,"Cognitive Analysis of Working Memory Load from EEG, by a Deep Recurrent Neural Network",Kuanar2018,working memory load classification,error,arch1,CNN+BiLSTM,CNN+RNN,0.0761,
,,Kuanar2018,working memory load classification,error,arch2,CNN+LSTM+Conv,CNN+RNN,0.0834,
,,Kuanar2018,working memory load classification,error,arch3,CNN+LSTM,CNN+RNN,0.0987,
,,Kuanar2018,working memory load classification,error,trad1,RF,,0.1223,
,,Kuanar2018,working memory load classification,error,trad2,LR,,0.1445,
,,Kuanar2018,working memory load classification,error,trad3,SVM,,0.1496,
,A Deep Learning Approach with an Attention Mechanism for Automatic Sleep Stage Classification,Langkvist2018,sleep staging,accuracy,dl1,DBN,,0.722,
,,Langkvist2018,sleep staging,accuracy,arch1,SAE (standard),AE,0.719,
,,Langkvist2018,sleep staging,accuracy,arch2,SAE (adaptive),AE,0.765,
,,Langkvist2018,sleep staging,accuracy,arch3,SAE (fixed),AE,0.777,
,On the Classification of SSVEP-Based Dry-EEG Signals via Convolutional Neural Networks,Aznan2018,SSVEP,accuracy,arch1,CNN,CNN,0.78,
,,Aznan2018,SSVEP,accuracy,trad1,SVM gaussian,,0.51,
,,Aznan2018,SSVEP,accuracy,trad2,SMV linear,,0.5,
,A Long Short-Term Memory deep learning network for the prediction of epileptic seizures using EEG signals,Tsiouris2018,seizure prediction,sensitivity,arch1,LSTM,RNN,0.9928,
,,Tsiouris2018,seizure prediction,sensitivity,trad1,LDA,,0.81,
,,Tsiouris2018,seizure prediction,sensitivity,dl1,CNN,,0.9333,
,,Tsiouris2018,seizure prediction,sensitivity,dl2,CNN,,0.8333,
,,Tsiouris2018,seizure prediction,sensitivity,dl3,LSTM,,0.812,
,,Tsiouris2018,seizure prediction,sensitivity,trad2,SVM,,0.9868,
,,Tsiouris2018,seizure prediction,sensitivity,trad3,N/M,,0.912,
,Joint Classification and Prediction CNN Framework for Automatic Sleep Stage Classification,Phan2018,sleep staging (EEG only),accuracy,arch1,One-to-many + 1-max CNN,CNN,0.786,
,,Phan2018,sleep staging (EEG only),accuracy,arch2,One-to-one + 1-max CNN,CNN,0.759,
,,Phan2018,sleep staging (EEG only),accuracy,arch3,One-to-many + deep CNN,CNN,0.78,
,,Phan2018,sleep staging (EEG only),accuracy,dl1,Deep CNN,,0.734,
,,Phan2018,sleep staging (EEG only),accuracy,dl2,DeepSleepNet,,0.779,
,,Phan2018,sleep staging (EEG only),cohen's kappa,arch1,One-to-many + 1-max CNN,CNN,0.7,
,,Phan2018,sleep staging (EEG only),cohen's kappa,arch2,One-to-one + 1-max CNN,CNN,0.67,
,,Phan2018,sleep staging (EEG only),cohen's kappa,arch3,One-to-many + deep CNN,CNN,0.69,
,,Phan2018,sleep staging (EEG only),cohen's kappa,dl1,Deep CNN,,0.61,
,,Phan2018,sleep staging (EEG only),cohen's kappa,dl2,DeepSleepNet,,0.68,
,,Phan2018,sleep staging (EEG only),sensitivity,arch1,One-to-many + 1-max CNN,CNN,0.712,
,,Phan2018,sleep staging (EEG only),sensitivity,arch2,One-to-one + 1-max CNN,CNN,0.711,
,,Phan2018,sleep staging (EEG only),sensitivity,arch3,One-to-many + deep CNN,CNN,0.701,
,,Phan2018,sleep staging (EEG only),sensitivity,dl1,Deep CNN,,0.626,
,,Phan2018,sleep staging (EEG only),sensitivity,dl2,DeepSleepNet,,0.692,
,Deep Convolution Neural Network and Autoencoders-Based Unsupervised Feature Learning of EEG Signals,Wen2018,seizure detection,,,,,,"No aggregates, too complicated for now!"
,Deep learning with convolutional neural networks for decoding and visualization of EEG pathology,Schirrmeister2017a,pathology classification,accuracy,dl1,baseline,,0.788,
,,Schirrmeister2017a,pathology classification,accuracy,arch1,deep,CNN,0.854,
,,Schirrmeister2017a,pathology classification,accuracy,arch2,shallow,CNN,0.845,
,,Schirrmeister2017a,pathology classification,accuracy,trad1,linear,,0.514,
,Predicting sex from brain rhythms with deep learning,VanPutten2018b,sex classification,accuracy,arch1,CNN,CNN,0.81,
,,VanPutten2018b,sex classification,accuracy,trad1,LR,,0.7,
,Deep learning with EEG spectrograms in rapid eye movement behavior disorder,Ruffini2018a,REM behavior disorder classification,accuracy,arch1,DCNN,CNN,0.79,
,,Ruffini2018a,REM behavior disorder classification,accuracy,arch2,RNN,RNN,0.81,
,,Ruffini2018a,REM behavior disorder classification,accuracy,trad1,SVM,,0.71,
,,Ruffini2018a,REM behavior disorder classification (larger classes),accuracy,arch1,DCNN,CNN,0.73,
,,Ruffini2018a,REM behavior disorder classification (larger classes),accuracy,arch2,RNN,RNN,0.72,
,,Ruffini2018a,REM behavior disorder classification (larger classes),accuracy,trad1,SVM,,0.62,
,Deep transfer learning for error decoding from non-invasive EEG,Volker2018,error decoding (Flanker task),normalized accuracy,arch1,CNN,CNN,0.817,
,,Volker2018,error decoding (Flanker task),normalized accuracy,trad1,rLDA,,0.7665,
,,Volker2018,error decoding (GUI control),normalized accuracy,arch1,CNN,CNN,0.58,
,,Volker2018,error decoding (GUI control),normalized accuracy,trad1,rLDA,,0.59,
,DeepIED: An epileptic discharge detector for EEG-fMRI based on deep learning,Hao2018,seizure detection,sensitivity,arch1,CNN,CNN,0.842,
,,Hao2018,seizure detection,sensitivity,trad1,Template,,0.5,
,Deep learning for hybrid EEG-fNIRS brain–computer interface: application to motor imagery classification,Chiarelli2018,motor imagery (EEG only),accuracy,arch1,MLP,FC,0.734,
,,Chiarelli2018,motor imagery (EEG only),accuracy,trad1,LDA,,0.6588,
,,Chiarelli2018,motor imagery (EEG only),accuracy,trad2,SVM,,0.6971,
,Preference Classification Using Electroencephalography (EEG) and Deep Learning,Teo2018,preference classification,accuracy,arch1,Deep Net,FC,0.6399,
,,Teo2018,preference classification,accuracy,trad1,SVM linear,,0.6019,
,,Teo2018,preference classification,accuracy,trad2,SVM radial,,0.5967,
,,Teo2018,preference classification,accuracy,trad3,OneR,,0.59,
,,Teo2018,preference classification,accuracy,trad4,Adaboost,,0.5865,
,,Teo2018,preference classification,accuracy,trad5,RF,,0.5774,
,An Automated System for Epilepsy Detection using EEG Brain Signals based on Deep Learning Approach,Ullah2018,seizure detection (ABCD vs E),accuracy,arch1,MLP,FC,0.997,
,,Ullah2018,seizure detection (ABCD vs E),accuracy,trad1,SVM,,0.992,
,,Ullah2018,seizure detection (ABCD vs E),accuracy,trad2,ANN,,0.977,
,,Ullah2018,seizure detection (ABCD vs E),accuracy,dl1,MLP,,0.996,
,,Ullah2018,seizure detection (ABCD vs E),accuracy,dl2,MLP,,0.981,
,,Ullah2018,seizure detection (ABCD vs E),accuracy,dl3,GRNN,,0.9524,
,A Novel Channel-aware Attention Framework for Multi-channel EEG Seizure Detection via Multi-view Deep Learning,Yuan2018a,seizure detection,accuracy,arch1,ChannelAtt_glo,AE,0.9661,
,,Yuan2018a,seizure detection,accuracy,arch2,ChannelAtt_loc,AE,0.9651,
,,Yuan2018a,seizure detection,accuracy,dl1,Global-SAEs,,0.8973,
,,Yuan2018a,seizure detection,accuracy,dl2,Channel-SAEs,,0.9053,
,,Yuan2018a,seizure detection,accuracy,dl3,Fusion-SAEs,,0.9222,
,,Yuan2018a,seizure detection,accuracy,trad1,PSVM,,0.885,
,,Yuan2018a,seizure detection,accuracy,trad2,mSSDA,,0.9382,
,,Yuan2018a,seizure detection,f1-score,arch1,ChannelAtt_glo,AE,0.9785,
,,Yuan2018a,seizure detection,f1-score,arch2,ChannelAtt_loc,AE,0.9781,
,,Yuan2018a,seizure detection,f1-score,dl1,Global-SAEs,,0.9317,
,,Yuan2018a,seizure detection,f1-score,dl2,Channel-SAEs,,0.9384,
,,Yuan2018a,seizure detection,f1-score,dl3,Fusion-SAEs,,0.959,
,,Yuan2018a,seizure detection,f1-score,trad1,PSVM,,0.9342,
,,Yuan2018a,seizure detection,f1-score,trad2,mSSDA,,0.9605,
,Compact Convolutional Neural Networks for Classification of Asynchronous Steady-state Visual Evoked Potentials,Waytowich2018,SSVEP,accuracy,arch1,Compact-CNN,CNN,0.8,
,,Waytowich2018,SSVEP,accuracy,trad1,CCA,,0.58,
,,Waytowich2018,SSVEP,accuracy,trad2,Combined-CCA,,0.3,
,Deep Classification of Epileptic Signals,Ahmedt-Aristizabal2018,seizure detection,accuracy,arch1,LSTM,RNN,0.9554,
,,Ahmedt-Aristizabal2018,seizure detection,auc,arch1,LSTM,RNN,0.9582,
,,Ahmedt-Aristizabal2018,seizure detection,sensitivity,arch1,LSTM,RNN,0.9183,
,Emotion Recognition from EEG Using RASM and LSTM,Li2018,emotion classification,accuracy,arch1,LSTM,RNN,0.7667,
,,Li2018,emotion classification,accuracy,trad1,SVM,,0.6562,
,,Li2018,emotion classification,accuracy,trad2,GELM,,0.6967,
,,Li2018,emotion classification,accuracy,trad3,HMM,,0.73,
,,Li2018,emotion classification,accuracy,dl1,CRNN,,0.7206,
,EEG detection and de-noising based on convolution neural network and Hilbert-Huang transform,Wang2018a,artifact correction,accuracy,arch1,CNN,CNN,0.8,
,Data Augmentation for EEG-Based Emotion Recognition with Deep Convolutional Neural Networks,Wang2018,data augmentation,,,,,,Only reports accuracy on surrogate classification task
,A convolutional neural network for sleep stage scoring from raw single-channel EEG,Sors2018,sleep staging,accuracy,arch1,CNN,CNN,0.87,
,,Sors2018,sleep staging,accuracy,dl1,RNN,,0.9,
,,Sors2018,sleep staging,accuracy,trad1,iterative filtering,,0.88,
,,Sors2018,sleep staging,accuracy,trad2,boosting,,0.83,
,,Sors2018,sleep staging,accuracy,trad3,RF,,0.88,
,,Sors2018,sleep staging,accuracy,trad4,bootstrap,,0.89,
,,Sors2018,sleep staging,accuracy,trad5,smoothing rules,,0.88,
,,Sors2018,sleep staging,accuracy,dl1,CNN,,0.75,
,,Sors2018,sleep staging,accuracy,dl2,CNN-LSTM,,0.86,
,ChronoNet: A Deep Recurrent Neural Network for Abnormal EEG Identification,Roy2018,abnormal EEG classification,accuracy,arch1,ChronoNet,CNN+RNN,0.8657,
,,Roy2018,abnormal EEG classification,accuracy,dl1,C-RNN,,0.8231,
,,Roy2018,abnormal EEG classification,accuracy,dl2,IC-RNN,,0.8411,
,,Roy2018,abnormal EEG classification,accuracy,dl3,C-DRNN,,0.8389,
,,Roy2018,abnormal EEG classification,accuracy,dl4,CNN-MLP,,0.788,
,,Roy2018,abnormal EEG classification,accuracy,dl5,DeepCNN,,0.854,
,EEG-GAN: Generative adversarial networks for electroencephalograhic (EEG) brain signals,Hartmann2018,EEG generation,,,,,,No accuracy
,Know Your Mind: Adaptive Brain Signal Classification with Reinforced Attentive Convolutional Neural Networks,Zhang2018a,MIR,accuracy,arch1,model,CNN,0.9932,Has both baseline comparisons and SOTA comparisons... I ended up using baseline comparisons.
,,Zhang2018a,MIR,accuracy,dl1,[35],,0.9545,
,,Zhang2018a,MIR,accuracy,dl2,[33],,0.9831,
,,Zhang2018a,MIR,accuracy,trad1,[16],,0.92,
,,Zhang2018a,MIR,accuracy,trad2,[24],,0.9,
,,Zhang2018a,PI,accuracy,arch1,model,CNN,0.9984,
,,Zhang2018a,PI,accuracy,dl3,[14],,0.88,
,,Zhang2018a,PI,accuracy,trad3,[32],,0.99,
,,Zhang2018a,PI,accuracy,trad4,[27],,0.9831,
,,Zhang2018a,TUH,accuracy,arch1,model,CNN,0.9975,
,,Zhang2018a,TUH,accuracy,dl4,[9],,0.95,
,,Zhang2018a,TUH,accuracy,dl5,[10],,0.914,
,,Zhang2018a,TUH,accuracy,trad5,[36],,0.923,
,,Zhang2018a,TUH,accuracy,trad6,[11],,0.9505,
,Gated Recurrent Networks for Seizure Detection,Golmohammadi2017b,seizure detection,sensitivity,arch1,CNN/GRU,CNN+RNN,0.3083,
,,Golmohammadi2017b,seizure detection,sensitivity,arch2,CNN/LSTM,CNN+RNN,0.3083,
,Optimizing Channel Selection for Seizure Detection,Shah2017,seizure detection,sensitivity,arch1,CNN-2ch,CNN+RNN,0.3915,
,Improving brain computer interface performance by data augmentation with conditional Deep Convolutional Generative Adversarial Networks,Zhang2018b,data augmentation,,,,,,Surrogate classification task
,Convolutional neural networks for seizure prediction using intracranial and scalp electroencephalogram,Truong2018,seizure prediction (Freiburg),sensitivity,arch1,CNN,CNN,0.814,
,,Truong2018,seizure prediction (Freiburg),sensitivity,trad1,SVM,,0.983,
,,Truong2018,seizure prediction (Freiburg),sensitivity,trad2,SVM,,1,
,,Truong2018,seizure prediction (MIT),sensitivity,arch1,CNN,CNN,0.812,
,,Truong2018,seizure prediction (MIT),sensitivity,dl1,CNN,,0.878,
,,Truong2018,seizure prediction (MIT),sensitivity,trad1,SVM,,0.9868,
,,Truong2018,seizure prediction (AESSPC),sensitivity,arch1,CNN,CNN,0.75,
,Semi-supervised Seizure Prediction with Generative Adversarial Networks,Truong2018a,seizure prediction (CHBMIT),auc,arch1,GAN-CNN,Other,0.7768,
,,Truong2018a,seizure prediction (CHBMIT),auc,arch2,CNN,CNN,0.8379,
,,Truong2018a,seizure prediction (CHBMIT),auc,arch3,GAN-PS CNN,Other,0.7263,
,,Truong2018a,seizure prediction (CHBMIT),auc,arch4,GAN-PS USPL-CNN,Other,0.7566,
,,Truong2018a,seizure prediction (Freiburg),auc,arch1,MLP,FC,0.7547,
,,Truong2018a,seizure prediction (Freiburg),auc,arch2,CNN,CNN,0.8886,
,,Truong2018a,seizure prediction (Freiburg),auc,arch3,GAN-PS CNN,Other,0.6091,
,,Truong2018a,seizure prediction (Freiburg),auc,arch4,GAN-PS USPL-CNN,Other,0.7433,
,Time Series Segmentation through Automatic Feature Learning,Lee2018a,,,,,,,No major metric used
,Investigating the Impact of CNN Depth on Neonatal Seizure Detection Performance,OShea2018,seizure detection,auc,dl1,CNN (6),,0.9703,
,,OShea2018,seizure detection,auc,arch1,CNN (11),CNN,0.9761,
,,OShea2018,seizure detection,auc,trad1,SVM,,0.9659,
,Removing Confounding Factors Associated Weights in Deep Neural Networks Improves the Prediction Accuracy for Healthcare Applications,Wu2018,confusion classification,accuracy,arch1,CF-BiLSTM,RNN,0.75,
,,Wu2018,confusion classification,accuracy,dl1,Bi-LSTM,,0.733,
,,Wu2018,confusion classification,accuracy,dl2,RNN-LSTM,,0.69,
,,Wu2018,confusion classification,accuracy,trad1,SVM,,0.672,
,,Wu2018,confusion classification,accuracy,trad2,kNN,,0.519,
,HAMLET: Interpretable Human And Machine co-LEarning Technique,Deiss2018,clinical features classification,accuracy,arch1,HAMLET-CNN,Other,0.4075,
,,Deiss2018,clinical features classification,accuracy,arch2,HAMLET-CAE,Other,0.3906,
,,Deiss2018,clinical features classification,accuracy,dl1,CNN,,0.4158,
,,Deiss2018,clinical features classification,accuracy,dl2,MLP,,0.2314,
